,cv,c_umass,c_npmi,c_uci,sil_score,ch_index,db_index
2 Topics,0.3994719813132219,-2.3999356361398103,-0.005286439539325485,-0.06143101849510031,0.028091287172420955,46.46415418103314,14.591858720859726
4 Topics,0.4862293976680549,-2.6467849226660913,0.016581040746009773,0.08778906967453522,-0.03601273409164889,43.51197129654778,12.300181551717841
6 Topics,0.494427792208917,-2.684130544244424,0.0325136376108365,0.19443848908589736,-0.1078797056484464,33.183104577973936,12.805879996982634
8 Topics,0.4924863528277992,-2.8106624166120167,0.020374259069813123,-0.0011625297131426654,-0.12157967475199914,25.948007584207726,12.862559568639565
10 Topics,0.5002083498396561,-2.7376413403046627,0.02187502993027707,0.09459322586495512,-0.15854455724109484,21.72078683798208,13.323633691067462
15 Topics,0.5382975589061793,-2.7230968794820196,0.02546206774646258,0.09955991102006069,-0.18274601994642972,14.35008108104728,13.401076149536435
20 Topics,0.4925593195190496,-3.015985197930667,-0.012189936878423818,-0.7202358809038466,-0.2084664157984207,9.487213738741511,13.282040650143804
25 Topics,0.4304301014366728,-3.4098534064022044,-0.049255315615020855,-1.678672490494317,-0.21522135015521562,7.286002428881247,13.414925697147972
30 Topics,0.433382834855562,-3.894507779388571,-0.0689186349982541,-2.308461406623173,-0.22632562983796797,6.6157202734330145,13.272162995127172
35 Topics,0.403449067045595,-4.333322601659023,-0.10920329152921415,-3.42555198448619,-0.23177604927161455,6.060904047360907,12.695797461824018
40 Topics,0.37879219465438185,-4.835519846781015,-0.14654470868471764,-4.4261579963114,-0.24625031031993103,5.450790663303553,12.326526791610998
45 Topics,0.36835525988839574,-5.323616558887227,-0.18688815742968634,-5.577469372485007,-0.2520517974320286,5.140360261282892,11.823061736040213
50 Topics,0.35598131636204305,-6.098834068357319,-0.23045822504795319,-6.857282567065216,-0.2564101726925279,4.832813426522496,11.539768420625624
