,cv,c_umass,c_npmi,c_uci,sil_score,ch_index,db_index
2 Topics,0.3832235567977873,-3.1974645814717624,-0.013685621229843799,-0.15146234301582695,0.004170832360680667,32.529340783832,24.43579120879118
4 Topics,0.4321151305411258,-3.108112201769347,-0.003764235651671978,-0.0889849046977047,-0.011693917996888112,23.248401326930576,21.896992504206615
6 Topics,0.40678375437014763,-3.1518215982641173,-0.007813616702243472,-0.15609866284764792,-0.0264555533414533,20.034972629665663,20.12839954352513
8 Topics,0.4151012927851969,-3.1136162998685877,-0.005747903775382291,-0.113819985589203,-0.03803916864138661,17.64529148002541,18.656149131434535
10 Topics,0.3853283133699152,-3.3565646896529797,-0.014480702492772713,-0.3977433778296897,-0.046084354454801815,16.233159459036713,18.27142253249269
15 Topics,0.28085494115571474,-4.337326606102533,-0.11096408204370177,-2.9647328623891855,-0.07319269363068523,14.892792170135717,15.939587491719582
20 Topics,0.2993436445081033,-4.728289203760686,-0.189165636934832,-5.22232770202123,-0.09052994230026305,14.493631087796793,14.580367118562615
25 Topics,0.30523509639004254,-4.794117888524553,-0.21345902670302763,-5.891031436928623,-0.10169990806566608,14.184018265199159,13.409601456968192
30 Topics,0.29965491375926706,-5.023927391896505,-0.2222070840870738,-6.1922024548702215,-0.1148932984115979,13.843493261473084,12.348753567772182
35 Topics,0.2988892403393451,-5.033273144512886,-0.2184810523094842,-6.099919003356599,-0.12376229227368683,13.911582722453746,11.440131207392199
40 Topics,0.29145470334933055,-5.0142069117602635,-0.22313585554624765,-6.229111918195255,-0.13053441865335524,13.761703139543066,10.735475948238152
45 Topics,0.292683221255026,-5.054540256821033,-0.21285200937478801,-5.953010980329114,-0.13426646019998195,13.896919159317754,10.190132871275598
50 Topics,0.29634858888348925,-4.956228623815767,-0.2140401153497977,-6.003492453767994,-0.13723274644688288,13.754886075705166,9.83851576270692
