,cv,c_umass,c_npmi,c_uci,sil_score,ch_index,db_index
2 Topics,0.425267019061171,-2.736941575998885,-0.0608608900527072,-2.212516710746052,-0.07176991290309291,10.243917936248401,7.9914471816405745
4 Topics,0.5234024051442624,-2.870075712617679,-0.011345358601791217,-1.4320669329907358,-0.10178055527585675,10.199602532621377,8.051679888179775
6 Topics,0.5462720479836111,-3.0487001477097917,-0.017130510824304435,-1.7052997370986132,-0.11301619976852742,12.681905988276057,8.728108043188085
8 Topics,0.5233496008335523,-3.0530641092224755,-0.022328740756253386,-1.690152600466314,-0.09074481375721143,19.316380701264922,8.064591287560567
10 Topics,0.5012502358053665,-2.9575934683886045,-0.022251702366717176,-1.482800667471404,-0.18189454640280814,18.295407805927802,7.920377990333579
15 Topics,0.47268985885197273,-3.164788941192432,-0.027461016123774794,-1.540553853812556,-0.20655458111951625,21.42780830150795,7.182734613105902
20 Topics,0.44671000367329244,-3.306661598144796,-0.039151448646934414,-1.7415625728635422,-0.2021013827764235,18.295628024646735,7.123106542843483
25 Topics,0.4367564494447482,-3.312550335673487,-0.041123893526577034,-1.6788026099193747,-0.1898563107081942,19.4846228066295,6.963557475478772
30 Topics,0.426286881916596,-3.47716555678426,-0.046723115398359674,-1.7627458653781494,-0.16494040659087927,18.70302576752855,7.0901126173307265
35 Topics,0.4165382032598278,-3.5118535475155364,-0.048493080715122795,-1.741288078398164,-0.205311704610583,18.591179492335016,6.972782202622946
40 Topics,0.420581908056771,-3.4766766132866342,-0.047449541213423554,-1.6680132377655201,-0.15367199809077287,17.54741641636574,6.916106005540149
45 Topics,0.4192296104028928,-3.4852608556721925,-0.04601855903164883,-1.5876772565915505,-0.17543386524801768,17.113690176387905,6.732369013571019
50 Topics,0.40962132741136387,-3.477811799992456,-0.048467127425345556,-1.640824584627268,-0.1633701493504484,16.514287754445373,6.635019051782097
