,cv,c_umass,c_npmi,c_uci,sil_score,ch_index,db_index
2 Topics,0.3711541130792214,-3.217180714010678,0.014239499382799118,0.0737120949837644,-0.07984826774516944,113.10943351704103,6.435643815754174
4 Topics,0.36350703925505684,-3.587089703041029,0.04637268249392017,0.14743219542335478,-0.07579195989199396,131.21336920146874,5.094351123583723
6 Topics,0.38150268349868516,-3.5475773075305153,0.02193178608040164,-0.2624624865086285,-0.06909739599342625,131.116268779284,4.687334851913598
8 Topics,0.4078163061147305,-3.5894288184393917,0.016200850989939435,-0.4089235043178257,-0.06292472533626076,126.83428681567149,4.415303111348037
10 Topics,0.40831600006554086,-3.5451028978230283,0.02149260958252702,-0.30060269884111207,-0.05878108067727086,118.42376673525558,4.6087010943110505
15 Topics,0.43232608922137833,-3.4456632031729937,0.026990795904975808,-0.1496256780058884,-0.04908661537346604,106.87795298086887,4.495199302936734
20 Topics,0.43121317736853254,-3.4447022002552656,0.028806182491042914,-0.16209560112590218,-0.0623430054047267,98.03756254033861,4.628257087737267
25 Topics,0.42372642133302313,-3.421880331822702,0.021650687541320487,-0.21745218979619405,-0.05689053152766097,89.83132989563896,4.839571774041246
30 Topics,0.4095352693857594,-3.4478049412495944,0.017892565322852806,-0.2953180424626269,-0.05227125907653823,84.22694246024273,4.872006767638159
35 Topics,0.40407990624813084,-3.4574661793201096,0.011232541356716133,-0.3709731745416906,-0.04930179251923178,77.31442986188443,4.894709720771695
40 Topics,0.40523245438573624,-3.417906569470779,0.008043770271004209,-0.3769810928732656,-0.045569072745829935,72.22207429194647,4.991881286682289
45 Topics,0.4014362632076775,-3.4142908880585985,0.002986252737154576,-0.4571046665820975,-0.04308315197270464,67.02228365540333,5.193191109161176
50 Topics,0.3947677187816684,-3.42976673006651,-0.0017521556524060047,-0.5531061089291262,-0.03981954312964643,63.40181865409489,5.130188461187791
