,cv,c_umass,c_npmi,c_uci,sil_score,ch_index,db_index
2 Topics,0.4637562995472074,-2.8479450461797655,-0.031479462049109355,-1.377508328057106,0.005884102515331075,19.026612094381182,7.587460249168673
4 Topics,0.4936294908072495,-2.9001588477366393,-0.010365330409630046,-0.9421838952343602,-0.011366095881916057,18.535243287478355,9.38270801984617
6 Topics,0.6084152841223931,-2.8417433948294772,0.012473371767940616,-1.00418575961452,-0.03747237342572875,18.72393607659925,10.628527514694323
8 Topics,0.6003798640636889,-2.851574558242393,0.019612182274457227,-0.776452487753299,-0.009349627151087964,29.200355343962894,9.366369114899328
10 Topics,0.585213881605,-2.7850916896740046,0.017035978158810836,-0.6515166067235016,-0.020956761117977733,36.67208740353922,8.440926757174186
15 Topics,0.5648840047230371,-2.8835922057700594,0.027338414635870317,-0.41581890684970124,-0.05760924175928915,36.14329933471939,7.401331763620758
20 Topics,0.5548408206839183,-2.9976632113958717,0.017911279434293298,-0.6575663421583315,-0.09650384731206417,38.26328853888737,6.532287462574452
25 Topics,0.5522898385202347,-2.9892347279925873,0.01618135933621881,-0.6945246827481484,-0.13894475156100966,36.92742363139523,6.200248104897329
30 Topics,0.5477551831860032,-3.1282544177144236,0.0072303808530367365,-0.8693904683104717,-0.15447179637056938,34.924044145951925,5.85394675148035
35 Topics,0.5349037673550606,-3.1816418231476167,0.004696692755773299,-0.9406355862758587,-0.17793712889196858,32.151184929392365,5.702203153439457
40 Topics,0.5221692081769371,-3.2529767791371844,-0.0005763630559935285,-1.0268371873076503,-0.1858239723210872,31.663252275827936,5.519101049422917
45 Topics,0.53407271222607,-3.241556849160343,0.00961750334178314,-0.8387225325105934,-0.20969568843884576,29.796276283417047,5.350817371068179
50 Topics,0.5205811833569137,-3.242545435558928,0.0026940062869658487,-0.9369054410865328,-0.21448995202833102,29.149172991252488,5.226247630641113
